year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
1976,IOWA,IA,19,42,31,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,619931,1279303,20210113,,DEMOCRAT
1976,KANSAS,KS,20,47,32,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,502752,957845,20210113,,REPUBLICAN
1976,KANSAS,KS,20,47,32,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,430421,957845,20210113,,DEMOCRAT
1976,KENTUCKY,KY,21,61,51,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,615717,1167142,20210113,,DEMOCRAT
1976,KENTUCKY,KY,21,61,51,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,531852,1167142,20210113,,REPUBLICAN
1976,LOUISIANA,LA,22,72,45,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,661365,1277383,20210113,,DEMOCRAT
1976,LOUISIANA,LA,22,72,45,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,587446,1277383,20210113,,REPUBLICAN
1976,MAINE,ME,23,11,2,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,236320,482968,20210113,,REPUBLICAN
1976,MAINE,ME,23,11,2,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,232279,482968,20210113,,DEMOCRAT
1976,MARYLAND,MD,24,52,52,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,759612,1432273,20210113,,DEMOCRAT
1976,MARYLAND,MD,24,52,52,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,672661,1432273,20210113,,REPUBLICAN
1976,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,1429475,2547558,20210113,,DEMOCRAT
1976,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,1030276,2547558,20210113,,REPUBLICAN
1976,MICHIGAN,MI,26,34,23,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,1893742,3651590,20210113,,REPUBLICAN
1976,MICHIGAN,MI,26,34,23,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,1696714,3651590,20210113,,DEMOCRAT
1976,MINNESOTA,MN,27,41,33,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,1070440,1949931,20210113,,DEMOCRAT
1976,MINNESOTA,MN,27,41,33,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,819395,1949931,20210113,,REPUBLICAN
1976,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,381329,768390,20210113,,DEMOCRAT
1976,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,366846,768390,20210113,,REPUBLICAN
1976,MISSOURI,MO,29,43,34,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,998387,1953600,20210113,,DEMOCRAT
1976,MISSOURI,MO,29,43,34,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,927443,1953600,20210113,,REPUBLICAN
1976,MONTANA,MT,30,81,64,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,173703,328734,20210113,,REPUBLICAN
1976,MONTANA,MT,30,81,64,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,149259,328734,20210113,,DEMOCRAT
1976,NEBRASKA,NE,31,46,35,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,359219,606749,20210113,,REPUBLICAN
1976,NEBRASKA,NE,31,46,35,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,233293,606749,20210113,,DEMOCRAT
1976,NEVADA,NV,32,88,65,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,101273,201876,20210113,,REPUBLICAN
1976,NEVADA,NV,32,88,65,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,92479,201876,20210113,,DEMOCRAT
1976,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,185935,339627,20210113,,REPUBLICAN
1976,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,147645,339627,20210113,,DEMOCRAT
1976,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,1509688,3014472,20210113,,REPUBLICAN
1976,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,1444653,3014472,20210113,,DEMOCRAT
1976,NEW MEXICO,NM,35,85,66,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,211419,416590,20210113,,REPUBLICAN
1976,NEW MEXICO,NM,35,85,66,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,201148,416590,20210113,,DEMOCRAT
1976,NEW YORK,NY,36,21,13,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,3244165,6668262,20210113,,DEMOCRAT
1976,NEW YORK,NY,36,21,13,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,2825913,6668262,20210113,,REPUBLICAN
1976,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,927365,1677906,20210113,,DEMOCRAT
1976,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,741960,1677906,20210113,,REPUBLICAN
1976,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,153684,297308,20210113,,REPUBLICAN
1976,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,136078,297308,20210113,,DEMOCRAT
1976,OHIO,OH,39,31,24,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,2009959,4110456,20210113,,DEMOCRAT
1976,OHIO,OH,39,31,24,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,2000626,4110456,20210113,,REPUBLICAN
1976,OKLAHOMA,OK,40,73,53,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,545708,1092251,20210113,,REPUBLICAN
1976,OKLAHOMA,OK,40,73,53,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,532442,1092251,20210113,,DEMOCRAT
1976,OREGON,OR,41,92,72,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,492120,1029876,20210113,,REPUBLICAN
1976,OREGON,OR,41,92,72,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,490407,1029876,20210113,,DEMOCRAT
1976,PENNSYLVANIA,PA,42,23,14,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,2328677,4620787,20210113,,DEMOCRAT
1976,PENNSYLVANIA,PA,42,23,14,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,2205604,4620787,20210113,,REPUBLICAN
1976,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,227636,410584,20210113,,DEMOCRAT
1976,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,181249,410584,20210113,,REPUBLICAN
1976,SOUTH CAROLINA,SC,45,57,48,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,450807,802583,20210113,,DEMOCRAT
1976,SOUTH CAROLINA,SC,45,57,48,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,346149,802583,20210113,,REPUBLICAN
1976,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,151505,300678,20210113,,REPUBLICAN
1976,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,147068,300678,20210113,,DEMOCRAT
1976,TENNESSEE,TN,47,62,54,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,825879,1476346,20210113,,DEMOCRAT
1976,TENNESSEE,TN,47,62,54,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,633969,1476346,20210113,,REPUBLICAN
1976,TEXAS,TX,48,74,49,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,2082319,4071884,20210113,,DEMOCRAT
1976,TEXAS,TX,48,74,49,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,1953300,4071884,20210113,,REPUBLICAN
1976,UTAH,UT,49,87,67,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,337908,541218,20210113,,REPUBLICAN
1976,UTAH,UT,49,87,67,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,182110,541218,20210113,,DEMOCRAT
1976,VERMONT,VT,50,13,6,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,100387,183902,20210113,,REPUBLICAN
1976,VERMONT,VT,50,13,6,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,77798,183902,20210113,,DEMOCRAT
1976,VIRGINIA,VA,51,54,40,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,836554,1697094,20210113,,REPUBLICAN
1976,VIRGINIA,VA,51,54,40,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,813896,1697094,20210113,,DEMOCRAT
1976,WASHINGTON,WA,53,91,73,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,777732,1555534,20210113,,REPUBLICAN
1976,WASHINGTON,WA,53,91,73,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,717323,1555534,20210113,,DEMOCRAT
1976,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,435864,750590,20210113,,DEMOCRAT
1976,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,314726,750590,20210113,,REPUBLICAN
1976,WISCONSIN,WI,55,35,25,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,1040232,2101336,20210113,,DEMOCRAT
1976,WISCONSIN,WI,55,35,25,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,1004987,2101336,20210113,,REPUBLICAN
1976,WYOMING,WY,56,83,68,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,92717,156343,20210113,,REPUBLICAN
1976,WYOMING,WY,56,83,68,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,62239,156343,20210113,,DEMOCRAT
1980,ALABAMA,AL,1,63,41,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,654192,1341929,20210113,,REPUBLICAN
1980,ALABAMA,AL,1,63,41,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,636730,1341929,20210113,,DEMOCRAT
1980,ALASKA,AK,2,94,81,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,86112,158445,20210113,,REPUBLICAN
1980,ALASKA,AK,2,94,81,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,41842,158445,20210113,,DEMOCRAT
1980,ARIZONA,AZ,4,86,61,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,529688,873945,20210113,,REPUBLICAN
1980,ARIZONA,AZ,4,86,61,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,246843,873945,20210113,,DEMOCRAT
1980,ARKANSAS,AR,5,71,42,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,403164,837582,20210113,,REPUBLICAN
1980,ARKANSAS,AR,5,71,42,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,398041,837582,20210113,,DEMOCRAT
1980,CALIFORNIA,CA,6,93,71,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,4522994,8582938,20210113,,REPUBLICAN
1980,CALIFORNIA,CA,6,93,71,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,3082943,8582938,20210113,,DEMOCRAT
1980,COLORADO,CO,8,84,62,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,652264,1184450,20210113,,REPUBLICAN
1980,COLORADO,CO,8,84,62,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,368009,1184450,20210113,,DEMOCRAT
1980,CONNECTICUT,CT,9,16,1,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,677210,1406285,20210113,,REPUBLICAN
1980,CONNECTICUT,CT,9,16,1,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,541732,1406285,20210113,,DEMOCRAT
1980,DELAWARE,DE,10,51,11,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,111252,235668,20210113,,REPUBLICAN
1980,DELAWARE,DE,10,51,11,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,105754,235668,20210113,,DEMOCRAT
1980,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,130231,173889,20210113,,DEMOCRAT
1980,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,23313,173889,20210113,,REPUBLICAN
1980,FLORIDA,FL,12,59,43,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2046951,3686927,20210113,,REPUBLICAN
1980,FLORIDA,FL,12,59,43,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,1419475,3686927,20210113,,DEMOCRAT
1980,GEORGIA,GA,13,58,44,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,890955,1596805,20210113,,DEMOCRAT
1980,GEORGIA,GA,13,58,44,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,654168,1596805,20210113,,REPUBLICAN
1980,HAWAII,HI,15,95,82,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,135879,303287,20210113,,DEMOCRAT
1980,HAWAII,HI,15,95,82,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,130112,303287,20210113,,REPUBLICAN
1980,IDAHO,ID,16,82,63,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,290699,437431,20210113,,REPUBLICAN
1980,IDAHO,ID,16,82,63,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,110192,437431,20210113,,DEMOCRAT
1980,ILLINOIS,IL,17,33,21,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2358049,4749721,20210113,,REPUBLICAN
1980,ILLINOIS,IL,17,33,21,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,1981413,4749721,20210113,,DEMOCRAT
1980,INDIANA,IN,18,32,22,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1255656,2242033,20210113,,REPUBLICAN
1980,INDIANA,IN,18,32,22,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,844197,2242033,20210113,,DEMOCRAT
1980,IOWA,IA,19,42,31,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,676026,1317661,20210113,,REPUBLICAN
1980,IOWA,IA,19,42,31,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,508672,1317661,20210113,,DEMOCRAT
1980,KANSAS,KS,20,47,32,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,566812,979795,20210113,,REPUBLICAN
1980,KANSAS,KS,20,47,32,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,326150,979795,20210113,,DEMOCRAT
1980,KENTUCKY,KY,21,61,51,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,635274,1295627,20210113,,REPUBLICAN
1980,KENTUCKY,KY,21,61,51,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,617417,1295627,20210113,,DEMOCRAT
1980,LOUISIANA,LA,22,72,45,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,792853,1548591,20210113,,REPUBLICAN
1980,LOUISIANA,LA,22,72,45,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,708453,1548591,20210113,,DEMOCRAT
1980,MAINE,ME,23,11,2,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,238522,523011,20210113,,REPUBLICAN
1980,MAINE,ME,23,11,2,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,220974,523011,20210113,,DEMOCRAT
1980,MARYLAND,MD,24,52,52,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,726161,1540496,20210113,,DEMOCRAT
1980,MARYLAND,MD,24,52,52,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,680606,1540496,20210113,,REPUBLICAN
1980,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1057631,2524090,20210113,,REPUBLICAN
1980,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,1053802,2524090,20210113,,DEMOCRAT
1980,MICHIGAN,MI,26,34,23,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1915225,3909725,20210113,,REPUBLICAN
1980,MICHIGAN,MI,26,34,23,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,1661532,3909725,20210113,,DEMOCRAT
1980,MINNESOTA,MN,27,41,33,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,954173,2051916,20210113,,DEMOCRAT
1980,MINNESOTA,MN,27,41,33,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,873268,2051916,20210113,,REPUBLICAN
1980,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,441089,891750,20210113,,REPUBLICAN
1980,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,429281,891750,20210113,,DEMOCRAT
1980,MISSOURI,MO,29,43,34,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1074181,2099824,20210113,,REPUBLICAN
1980,MISSOURI,MO,29,43,34,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,931182,2099824,20210113,,DEMOCRAT
1980,MONTANA,MT,30,81,64,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,206814,363952,20210113,,REPUBLICAN
1980,MONTANA,MT,30,81,64,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,118032,363952,20210113,,DEMOCRAT
1980,NEBRASKA,NE,31,46,35,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,419214,639533,20210113,,REPUBLICAN
1980,NEBRASKA,NE,31,46,35,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,166424,639533,20210113,,DEMOCRAT
1980,NEVADA,NV,32,88,65,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,155017,243692,20210113,,REPUBLICAN
1980,NEVADA,NV,32,88,65,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,66666,243692,20210113,,DEMOCRAT
1980,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,221705,383990,20210113,,REPUBLICAN
1980,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,108864,383990,20210113,,DEMOCRAT
1980,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1546557,2975684,20210113,,REPUBLICAN
1980,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,1147364,2975684,20210113,,DEMOCRAT
1980,NEW MEXICO,NM,35,85,66,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,250779,456237,20210113,,REPUBLICAN
1980,NEW MEXICO,NM,35,85,66,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,167826,456237,20210113,,DEMOCRAT
1980,NEW YORK,NY,36,21,13,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,2728372,6201959,20210113,,DEMOCRAT
1980,NEW YORK,NY,36,21,13,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2637700,6201959,20210113,,REPUBLICAN
1980,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,915018,1855833,20210113,,REPUBLICAN
1980,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,875635,1855833,20210113,,DEMOCRAT
1980,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,193695,301116,20210113,,REPUBLICAN
1980,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,79189,301116,20210113,,DEMOCRAT
1980,OHIO,OH,39,31,24,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2206545,4283603,20210113,,REPUBLICAN
1980,OHIO,OH,39,31,24,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,1752414,4283603,20210113,,DEMOCRAT
1980,OKLAHOMA,OK,40,73,53,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,695570,1149708,20210113,,REPUBLICAN
1980,OKLAHOMA,OK,40,73,53,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,402026,1149708,20210113,,DEMOCRAT
1980,OREGON,OR,41,92,72,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,571044,1181516,20210113,,REPUBLICAN
1980,OREGON,OR,41,92,72,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,456890,1181516,20210113,,DEMOCRAT
1980,PENNSYLVANIA,PA,42,23,14,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2261872,4561501,20210113,,REPUBLICAN
1980,PENNSYLVANIA,PA,42,23,14,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,1937540,4561501,20210113,,DEMOCRAT
1980,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,198342,415967,20210113,,DEMOCRAT
1980,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,154793,415967,20210113,,REPUBLICAN
1980,SOUTH CAROLINA,SC,45,57,48,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,439277,888258,20210113,,REPUBLICAN
1980,SOUTH CAROLINA,SC,45,57,48,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,428220,888258,20210113,,DEMOCRAT
1980,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,198343,327703,20210113,,REPUBLICAN
1980,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,103855,327703,20210113,,DEMOCRAT
1980,TENNESSEE,TN,47,62,54,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,787761,1617616,20210113,,REPUBLICAN
1980,TENNESSEE,TN,47,62,54,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,783051,1617616,20210113,,DEMOCRAT
1980,TEXAS,TX,48,74,49,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2510705,4541636,20210113,,REPUBLICAN
1980,TEXAS,TX,48,74,49,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,1881147,4541636,20210113,,DEMOCRAT
1980,UTAH,UT,49,87,67,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,439687,604152,20210113,,REPUBLICAN
